target,name,K,n_test,n_adapt,lstm_repr,persistence,pooled_transfer,local_lag1,local_mean,local_ridge_hi,local_ridge_unreg,local_ridgecv,mae_persistence,mae_pooled_transfer,mae_local_lag1,mae_local_mean,mae_local_ridge_hi,mae_local_ridge_unreg,mae_local_ridgecv
station_12,CITIES@Saadiyat,30,565,16,11.78449906728776,12.028233342645658,11.553793005885808,15.039951211620643,18.4586069834058,19.29869811049539,138.43205543574055,43.89428023210499,8.789185840707963,8.986728134122085,10.560350708091345,13.009098451327434,13.712228416036053,121.98395396710293,37.820219481478894
station_12,CITIES@Saadiyat,90,505,76,11.742653762116769,12.19209339638352,11.605001680577553,11.647088859400174,17.29152361171965,16.66928173162586,41.45086626690894,24.568484294322435,8.905663366336634,9.035792793522416,8.574721718266346,12.398496873371549,11.93530783730017,35.55799932012959,19.945037078641995
station_13,CITIES@Lycee Francais Theodore Monod International School,30,594,16,11.637988497267251,12.133064224454904,11.477422834998523,15.254780131139924,18.70533041863572,16.318337280922727,130.6439890222452,52.9725734026021,8.984444444444446,8.940788993141542,10.934061396620306,13.356127946127947,12.15105802255514,103.21875731738513,41.452588577816755
station_13,CITIES@Lycee Francais Theodore Monod International School,90,534,76,11.814429804832704,12.28736598793038,11.600330660778221,14.099350431879468,19.03910961588978,19.350390545869004,26.403571351828738,21.743720319743225,9.147228464419474,9.058926766210588,10.338403571149478,13.762992312241277,14.048037338393286,21.051143755002126,16.360344348592154
station_14,CITIES@West Yas Island,30,387,16,12.261471860508152,12.513374622556636,11.815753338134629,17.378072853337258,22.45152345041803,33.56480938262298,609.6333786812161,205.72794706253273,9.419095607235143,9.142378705990728,14.774543998296707,19.509144056847546,29.205689718365207,487.43749208298715,166.30828044092712
station_14,CITIES@West Yas Island,90,327,76,12.164968294666936,12.535055797770148,11.651933673047113,12.068262902382822,19.528079272200106,17.684014274202063,21.179760874812253,14.843407613848699,9.34874617737003,8.972061952295475,9.430369392717333,16.400634154192815,14.700791688292053,17.78226842175488,12.235177745328842
station_15,CITIES@Khalifa City 1,30,367,16,17.942871002624166,20.42504864771637,18.079347039936827,19.63382357087487,23.69451163037984,28.335853942095365,354.3910232117619,762.2666304800271,13.572833787465939,12.638687997111635,15.537920778765168,19.500757833787464,23.77721160615743,280.34578877466674,598.7300314621233
station_15,CITIES@Khalifa City 1,90,307,76,18.755933483904872,21.486237827058325,18.89124196979038,18.985714027690634,22.482337653890475,21.178917584912025,31.59129429662969,21.028445913654327,14.184527687296416,13.022490831847444,13.26782091818671,17.26676881536088,16.109703220223714,25.135724185753283,16.147151196931336
station_16,CITIES@Khalifa City 2,30,329,16,16.99408597756197,18.518673226090232,16.94699080398578,20.985060479880662,26.72129390420837,35.139913113254586,468.0061790207945,163.4043880924397,13.060273556231003,12.253043549202738,17.484223103534767,22.899449088145897,30.61883648536995,383.2521131773351,136.99490619896702
station_16,CITIES@Khalifa City 2,90,269,76,17.576837644120637,19.31623873352183,17.52590922188791,17.79378787798138,22.911541284639576,21.06554103987863,32.123276000464855,20.462080500419074,13.420817843866171,12.390405559735376,12.985903112300178,18.76678487575817,17.06703993509286,25.799232020922243,16.186634730341602
