target,name,K,n_test,n_adapt,persistence,pooled_transfer,local_mean,local_ridge_unreg
station_12,CITIES@Saadiyat,30,565,16,12.028233342645658,11.553793005885808,18.4586069834058,138.43205543574055
station_13,CITIES@Lycee Francais Theodore Monod International School,30,594,16,12.133064224454904,11.477422834998523,18.70533041863572,130.6439890222452
station_14,CITIES@West Yas Island,30,387,16,12.513374622556636,11.815753338134629,22.45152345041803,609.6333786812161
station_15,CITIES@Khalifa City 1,30,367,16,20.42504864771637,18.079347039936827,23.69451163037984,354.3910232117619
station_16,CITIES@Khalifa City 2,30,329,16,18.518673226090232,16.94699080398578,26.72129390420837,468.0061790207945
station_17,CITIES@Sas Al Nakhl,30,350,16,10.65030658177098,10.184973061429275,14.199757091027877,39.41619275564472
station_18,CITIES@Al Danah,30,310,16,12.29631412122112,11.336241681449575,20.056874321046188,96.01309500544188
station_19,CITIES@Shakhbout[31],30,327,16,9.844875007554595,9.558189119261947,22.551549535743916,51.06554567463124
station_21,CITIES@Bateen-BWA,30,215,16,16.434843133939836,14.715640792215874,20.18858907310558,1650.1523483146625
station_22,Mamsha Azure 3,30,141,16,13.749459924918883,12.376152419273645,18.393786615276248,38.58855568429125
station_27,Sheleila,30,291,16,12.555055552695555,11.865082042443268,32.44640278005069,124.26935866857329
station_12,CITIES@Saadiyat,90,505,76,12.19209339638352,11.605001680577553,17.29152361171965,41.45086626690894
station_13,CITIES@Lycee Francais Theodore Monod International School,90,534,76,12.28736598793038,11.600330660778221,19.03910961588978,26.403571351828738
station_14,CITIES@West Yas Island,90,327,76,12.535055797770148,11.651933673047113,19.528079272200106,21.179760874812253
station_15,CITIES@Khalifa City 1,90,307,76,21.486237827058325,18.89124196979038,22.482337653890475,31.59129429662969
station_16,CITIES@Khalifa City 2,90,269,76,19.31623873352183,17.52590922188791,22.911541284639576,32.123276000464855
station_17,CITIES@Sas Al Nakhl,90,290,76,10.340353608973954,9.889053896570706,14.702711707654835,93.90958612157833
station_18,CITIES@Al Danah,90,271,55,12.448336111935584,11.461540819004574,15.38003090292256,44.60608276036169
station_19,CITIES@Shakhbout[31],90,267,76,9.770016963172282,9.415497952369403,13.240711895266758,46.01732407824803
station_20,Abu dhabi al muzoon,90,183,59,11.955186793054745,11.263390248238533,18.69527795502501,71.83806799972437
station_21,CITIES@Bateen-BWA,90,155,76,17.82374798570897,15.925422812752453,22.109017994874428,19.418312626058693
station_22,Mamsha Azure 3,90,81,76,12.194108322373465,11.079383943429153,17.794586453422358,18.134039466148824
station_27,Sheleila,90,231,76,12.373207019526182,11.57399414977186,20.03381153049147,48.898160827596634
