target,name,n_test,n_all,rmse_all_model,rmse_all_persistence,mae_all_model,mae_all_persistence,n_normal,rmse_normal_model,rmse_normal_persistence,mae_normal_model,mae_normal_persistence,n_ext,rmse_ext_model,rmse_ext_persistence,mae_ext_model,mae_ext_persistence,n_onset,rmse_onset_model,rmse_onset_persistence,mae_onset_model,mae_onset_persistence,n_extrel,rmse_extrel_model,rmse_extrel_persistence,mae_extrel_model,mae_extrel_persistence
station_12,CITIES@Saadiyat,565,565,11.553793005885808,12.028233342645658,8.986728134122085,8.789185840707963,551,10.64655673100068,11.639953263575478,8.509254536005688,8.602631578947367,14,30.433219925129702,22.502578264977295,27.778724745703094,16.131428571428568,7,36.37619107446346,29.20242529066966,33.9978324705198,24.592857142857138,59,21.14547917947835,18.084341995873913,18.20504119991118,13.892033898305087
station_13,CITIES@Lycee Francais Theodore Monod International School,594,594,11.477422834998523,12.133064224454904,8.940788993141542,8.984444444444446,576,10.532122761762023,11.811504484799743,8.40269055842791,8.828541666666666,18,28.24024144723233,19.839323185140273,26.159938903977793,13.973333333333333,8,33.1937064381556,27.612641805883044,30.864858790348432,23.466250000000002,61,21.347365523180454,18.444965815485432,18.794435960301303,14.578688524590163
station_14,CITIES@West Yas Island,387,387,11.815753338134629,12.513374622556636,9.142378705990728,9.419095607235143,376,10.448586487101217,11.809693942293269,8.489484176199172,9.03343085106383,11,34.352215261696536,27.232873183308843,31.459500815229397,22.601818181818185,6,40.82974785985555,35.42098765797852,39.99503758797758,32.593333333333334,37,22.90824793600806,19.865042295585614,19.11881944163578,15.98675675675676
station_15,CITIES@Khalifa City 1,367,367,18.079347039936827,20.42504864771637,12.638687997111635,13.572833787465939,338,13.9908900305523,17.4910706212996,10.660427039786718,11.864615384615384,29,43.07044446501921,41.39762041303907,35.69566053420893,33.48241379310345,19,48.617508069918024,45.49658905664768,43.74388422932787,39.59947368421052,38,38.70765302581293,37.023302725943324,31.056917439756393,28.806052631578943
station_16,CITIES@Khalifa City 2,329,329,16.94699080398578,18.518673226090232,12.253043549202738,13.060273556231003,300,13.45925602748772,16.299310936355564,10.449595177246302,11.660833333333333,29,37.205622383366034,33.7982925502213,30.909406017717618,27.53724137931034,19,35.245875706890004,33.73975641817668,32.58762231769024,29.585789473684212,31,36.07439096463843,32.83161640071763,29.529287560159684,26.48806451612903
station_17,CITIES@Sas Al Nakhl,350,350,10.184973061429275,10.65030658177098,8.076888748509266,7.908628571428571,346,9.603350144869566,10.34286204953554,7.791713928804038,7.765549132947977,4,,,,,3,,,,,36,17.456726598872685,15.0418915033981,14.627278549114534,11.894444444444442
station_18,CITIES@Al Danah,310,310,11.336241681449575,12.29631412122112,8.697509913297534,9.15241935483871,304,10.51269522544931,11.830075980202679,8.290211826134321,8.923848684210526,6,32.25192779278112,26.853874953160858,29.333946329567084,20.733333333333334,3,,,,,29,18.83261870715273,17.14818870499357,14.636158163486412,13.256206896551722
station_19,CITIES@Shakhbout[31],327,327,9.558189119261947,9.844875007554595,7.398926079712815,7.397920489296636,325,9.342647279882799,9.83825935198514,7.278967106522484,7.3864,2,,,,,1,,,,,28,17.869525440705463,16.327763275214046,15.656133538506179,13.6725
station_20,Abu dhabi al muzoon,242,242,10.752456288529254,11.300214389467746,8.354419001334392,8.25198347107438,238,9.719298103180423,10.522053161388818,7.898616630130012,7.982563025210084,4,,,,,2,,,,,25,19.506244824715974,19.832688168778333,15.527567384005597,14.8472
station_21,CITIES@Bateen-BWA,215,215,14.715640792215874,16.434843133939836,10.662745135998836,11.354790697674417,206,12.341698697454035,14.693266306620918,9.482764619230887,10.442912621359222,9,41.07020755271572,38.8710223402701,37.67118807535413,32.22666666666666,6,47.5659178051714,47.32635928669492,46.45561099384097,44.79833333333334,23,30.35952318556917,29.023202636930815,26.071394980253725,23.921304347826084
station_22,Mamsha Azure 3,141,141,12.376152419273645,13.749459924918883,8.814796408155065,9.837872340425532,135,10.648778824696905,12.890902304424706,7.912447125936032,9.323925925925925,6,32.37366150561497,26.52685588857702,29.117655258083303,21.40166666666667,3,,,,,13,26.849028549152347,25.38752585879076,23.7880825236647,21.5423076923077
station_27,Sheleila,291,291,11.865082042443268,12.555055552695555,9.334504085322703,9.467079037800687,282,10.668421942675577,12.048177314255657,8.670066859715485,9.13049645390071,9,31.39556952583617,23.41756842866294,30.153537154348903,20.013333333333335,6,33.09448238799812,27.6022991192159,32.29981989142656,25.348333333333333,21,23.84434546711751,18.10147770868708,21.571365344534566,14.868571428571432
