target,name,K,n_test,extrel_threshold,n_all,rmse_all_gbm,rmse_all_ridge,rmse_all_persistence,mae_all_gbm,mae_all_ridge,mae_all_persistence,n_normal,rmse_normal_gbm,rmse_normal_ridge,rmse_normal_persistence,mae_normal_gbm,mae_normal_ridge,mae_normal_persistence,n_ext,rmse_ext_gbm,rmse_ext_ridge,rmse_ext_persistence,mae_ext_gbm,mae_ext_ridge,mae_ext_persistence,n_onset,rmse_onset_gbm,rmse_onset_ridge,rmse_onset_persistence,mae_onset_gbm,mae_onset_ridge,mae_onset_persistence,n_extrel,rmse_extrel_gbm,rmse_extrel_ridge,rmse_extrel_persistence,mae_extrel_gbm,mae_extrel_ridge,mae_extrel_persistence
station_12,CITIES@Saadiyat,30,565,54.08,565,11.96393820862133,11.553793005885808,12.028233342645658,9.014645891958411,8.986728134122085,8.789185840707963,551,10.833601820232873,10.64655673100068,11.639953263575478,8.45126439454399,8.509254536005688,8.602631578947367,14,34.01948949467086,30.433219925129702,22.502578264977295,31.187731968768723,27.778724745703094,16.131428571428568,7,38.971768010246294,36.37619107446346,29.20242529066966,36.019838061606585,33.9978324705198,24.592857142857138,59,22.24599083603504,21.14547917947835,18.084341995873913,18.400367542261648,18.20504119991118,13.892033898305087
station_12,CITIES@Saadiyat,90,505,54.08,505,12.139647992418093,11.605001680577553,12.19209339638352,9.166639964434903,9.035792793522416,8.905663366336634,492,10.92851660269973,10.663448085272266,11.80422300242828,8.568665399442562,8.545067829181814,8.730792682926829,13,34.709347211634565,30.466277435406372,22.380766983488986,31.79767734722216,27.607845290105217,15.523846153846154,6,41.009421247583184,37.33314318285148,29.977854604135146,38.146737397062005,34.66411160419385,24.686666666666667,55,22.57473471875895,21.300739857815532,18.352817519636893,18.6786699726706,18.321812795822066,14.037636363636365
station_13,CITIES@Lycee Francais Theodore Monod International School,30,594,57.129,594,11.9113149529957,11.477422834998523,12.133064224454904,8.947291593435427,8.940788993141542,8.984444444444446,576,10.745105891951441,10.532122761762023,11.811504484799743,8.347002882452866,8.40269055842791,8.828541666666666,18,31.422720583618435,28.24024144723233,19.839323185140273,28.15653034487736,26.159938903977793,13.973333333333333,8,32.63779408426014,33.1937064381556,27.612641805883044,28.476637257881563,30.864858790348432,23.466250000000002,61,22.43046075020023,21.347365523180454,18.444965815485432,18.69160405956843,18.794435960301303,14.578688524590163
station_13,CITIES@Lycee Francais Theodore Monod International School,90,534,57.129,534,12.095872955478056,11.600330660778221,12.28736598793038,9.103652139727942,9.058926766210588,9.147228464419474,516,10.81527805057764,10.556596663032655,11.938002183113849,8.4390168535018,8.462379831172196,8.978875968992249,18,31.422720583618435,28.24024144723233,19.839323185140273,28.15653034487736,26.159938903977793,13.973333333333333,8,32.63779408426014,33.1937064381556,27.612641805883044,28.476637257881563,30.864858790348432,23.466250000000002,60,22.120430957183753,21.14330109881955,18.003631902109827,18.394888382070267,18.58700391235325,14.2195
station_14,CITIES@West Yas Island,30,387,60.05,387,12.308332115469772,11.815753338134629,12.513374622556636,9.256504420811709,9.142378705990728,9.419095607235143,376,10.787750807387596,10.448586487101217,11.809693942293269,8.566567603623287,8.489484176199172,9.03343085106383,11,36.76876997410983,34.352215261696536,27.232873183308843,32.8397992628887,31.459500815229397,22.601818181818185,6,42.45171106698353,40.82974785985555,35.42098765797852,41.4901531431598,39.99503758797758,32.593333333333334,37,24.205375080316895,22.90824793600806,19.865042295585614,19.742457702224378,19.11881944163578,15.98675675675676
station_14,CITIES@West Yas Island,90,327,60.05,327,12.153963259749275,11.651933673047113,12.535055797770148,9.112539823512865,8.972061952295475,9.34874617737003,319,10.65318047725196,10.227530036948952,11.704227232488178,8.455416666184718,8.336339497290872,8.920971786833856,8,38.89194000531277,37.12787923432855,30.9864137566773,35.315325721972755,34.32149484560399,26.406250000000007,5,43.987938512834454,42.494655605031646,38.21118108616901,43.04076067243484,41.75407367344286,36.096000000000004,24,26.41522004015525,25.132031423028373,23.308531163503204,21.798430223654723,21.09162523346805,19.245833333333334
station_15,CITIES@Khalifa City 1,30,367,70.724,367,18.509739839216774,18.079347039936827,20.42504864771637,12.842519686547375,12.638687997111635,13.572833787465939,338,14.83016062975427,13.9908900305523,17.4910706212996,10.90740262030235,10.660427039786718,11.864615384615384,29,42.10023489046044,43.07044446501921,41.39762041303907,35.39664273450663,35.69566053420893,33.48241379310345,19,48.0604071272211,48.617508069918024,45.49658905664768,42.55862259800333,43.74388422932787,39.59947368421052,38,37.83270568392316,38.70765302581293,37.023302725943324,31.01068303735237,31.056917439756393,28.806052631578943
station_15,CITIES@Khalifa City 1,90,307,70.724,307,19.301679179571636,18.89124196979038,21.486237827058325,13.213151832738221,13.022490831847444,14.184527687296416,282,15.39972541619096,14.367464758176016,18.156220677519322,11.173382403460414,10.828885519041952,12.190744680851063,25,43.58788564877199,45.32120025844145,44.1670914595924,36.22175099499188,37.76635876029337,36.674400000000006,17,49.4584071810167,50.34903615040862,47.639611422329935,43.632488376281756,45.37928411350292,42.16235294117647,31,39.80771675663061,41.488070104115586,40.413693822602966,32.22231328273866,33.572989012600296,32.52548387096774
station_16,CITIES@Khalifa City 2,30,329,73.376,329,17.870969625211337,16.94699080398578,18.518673226090232,12.662702378375657,12.253043549202738,13.060273556231003,300,14.525060009035311,13.45925602748772,16.299310936355564,10.827166108465013,10.449595177246302,11.660833333333333,29,37.95643202444194,37.205622383366034,33.7982925502213,31.651008618830623,30.909406017717618,27.53724137931034,19,35.417476708565644,35.245875706890004,33.73975641817668,31.65646412446737,32.58762231769024,29.585789473684212,31,36.944507809253736,36.07439096463843,32.83161640071763,30.50350990830032,29.529287560159684,26.48806451612903
station_16,CITIES@Khalifa City 2,90,269,73.376,269,18.195743336408896,17.52590922188791,19.31623873352183,12.591020892347345,12.390405559735376,13.420817843866171,249,14.609199268119069,13.724217511572816,16.641617437127163,10.786925554978671,10.50548533971262,11.73875502008032,20,42.37814189897607,42.26415944423342,39.62926942299088,35.052007842587344,35.85766229901868,34.3625,14,38.73572996241969,38.62300188604575,38.1203749419426,35.00407960009437,36.55825152588901,34.895714285714284,21,41.37289549334974,41.2703936047997,38.81956079092086,33.63442615412354,34.46230345222447,33.458571428571425
station_17,CITIES@Sas Al Nakhl,30,350,49.33,350,10.277971248165642,10.184973061429275,10.65030658177098,7.894820841487411,8.076888748509266,7.908628571428571,346,9.535801596405909,9.603350144869566,10.34286204953554,7.559690480634903,7.791713928804038,7.765549132947977,4,,,,,,,3,,,,,,,36,17.505171351450183,17.456726598872685,15.0418915033981,13.477912162064884,14.627278549114534,11.894444444444442
station_17,CITIES@Sas Al Nakhl,90,290,49.33,290,10.031390750973868,9.889053896570706,10.340353608973954,7.709256916162256,7.840391048131154,7.652103448275862,287,9.254882044594348,9.334844617028802,10.026377215609156,7.380925034576528,7.578670315967491,7.529651567944252,3,,,,,,,2,,,,,,,23,19.360901777528778,18.736084470264643,16.255270717123,15.405966612784747,15.95598338231226,12.820869565217386
station_18,CITIES@Al Danah,30,310,50.79,310,11.766049279956695,11.336241681449575,12.29631412122112,8.77911877223998,8.697509913297534,9.15241935483871,304,10.772130774969684,10.51269522544931,11.830075980202679,8.312568615627105,8.290211826134321,8.923848684210526,6,35.6851468131295,32.25192779278112,26.853874953160858,32.41766004062563,29.333946329567084,20.733333333333334,3,,,,,,,29,19.859459866660302,18.83261870715273,17.14818870499357,14.716318525821281,14.636158163486412,13.256206896551722
station_18,CITIES@Al Danah,90,271,50.79,271,11.95621704620451,11.461540819004574,12.448336111935584,8.838355651786683,8.696842173758583,9.23678966789668,265,10.83306903372683,10.525676366056102,11.922337826336033,8.304484609020518,8.229586985325183,8.976490566037738,6,35.6851468131295,32.25192779278112,26.853874953160858,32.41766004062563,29.333946329567084,20.733333333333334,3,,,,,,,28,20.193217067239285,19.165815345052255,17.327466738430882,15.081792132169923,15.144551630888474,13.336785714285712
station_19,CITIES@Shakhbout[31],30,327,49.96,327,9.851523018124736,9.558189119261947,9.844875007554595,7.459237257993233,7.398926079712815,7.397920489296636,325,9.54863942032831,9.342647279882799,9.83825935198514,7.3064848080700635,7.278967106522484,7.3864,2,,,,,,,1,,,,,,,28,17.804930718570184,17.869525440705463,16.327763275214046,14.919424741551063,15.656133538506179,13.6725
station_19,CITIES@Shakhbout[31],90,267,49.96,267,9.839829213495419,9.415497952369403,9.770016963172282,7.518686293834874,7.268563983887181,7.292883895131086,265,9.466472259229352,9.145209149732391,9.761272960598978,7.331797055520358,7.120460623590922,7.277962264150943,2,,,,,,,1,,,,,,,21,19.36372887109369,19.069099102320685,17.77432257097701,16.977532038173926,17.30429894065777,15.435238095238091
station_20,Abu dhabi al muzoon,30,242,44.956,242,11.045241194629806,10.752456288529254,11.300214389467746,8.217800082929351,8.354419001334392,8.25198347107438,238,9.865459172772079,9.719298103180423,10.522053161388818,7.692173144529969,7.898616630130012,7.982563025210084,4,,,,,,,2,,,,,,,25,20.38251861233081,19.506244824715974,19.832688168778333,15.60796758585258,15.527567384005597,14.8472
station_20,Abu dhabi al muzoon,90,183,44.956,183,11.753000872917001,11.263390248238533,11.955186793054745,8.629750203080372,8.561718152373155,8.57535519125683,179,10.280664370137798,9.949540279294007,10.985829572528788,7.940077516720321,7.9603116286721045,8.224357541899442,4,,,,,,,2,,,,,,,25,20.38251861233081,19.506244824715974,19.832688168778333,15.60796758585258,15.527567384005597,14.8472
station_21,CITIES@Bateen-BWA,30,215,54.87,215,14.793491553615533,14.715640792215874,16.434843133939836,10.522821409327696,10.662745135998836,11.354790697674417,206,12.454238365274763,12.341698697454035,14.693266306620918,9.306033162403772,9.482764619230887,10.442912621359222,9,40.96059133580767,41.07020755271572,38.8710223402701,38.37375239447527,37.67118807535413,32.22666666666666,6,45.27966410809788,47.5659178051714,47.32635928669492,44.083765988692335,46.45561099384097,44.79833333333334,23,29.590998721912918,30.35952318556917,29.023202636930815,25.225359866052486,26.071394980253725,23.921304347826084
station_21,CITIES@Bateen-BWA,90,155,54.87,155,15.929956862438818,15.925422812752453,17.82374798570897,11.31668030880858,11.34932901608214,12.268774193548387,146,12.883411892514445,12.855919612934136,15.62460331551247,9.648778604897622,9.726748663113318,11.03849315068493,9,40.96059133580767,41.07020755271572,38.8710223402701,38.37375239447527,37.67118807535413,32.22666666666666,6,45.27966410809788,47.5659178051714,47.32635928669492,44.083765988692335,46.45561099384097,44.79833333333334,22,30.064276074558016,30.719274139417887,29.431010083676274,25.6468418745369,26.304849024242777,24.19818181818182
station_22,Mamsha Azure 3,30,141,59.224000000000004,141,12.725638009792261,12.376152419273645,13.749459924918883,8.940166761744619,8.814796408155065,9.837872340425532,135,10.89043209981325,10.648778824696905,12.890902304424706,7.984996013620424,7.912447125936032,9.323925925925925,6,33.72090998264831,32.37366150561497,26.52685588857702,30.431508594538986,29.117655258083303,21.40166666666667,3,,,,,,,13,26.8258996048112,26.849028549152347,25.38752585879076,22.865238728118246,23.7880825236647,21.5423076923077
