target,name,K,n_test,n_all,rmse_all_persistence,rmse_all_ridge,rmse_all_lstm,mae_all_persistence,mae_all_ridge,mae_all_lstm,n_normal,rmse_normal_persistence,rmse_normal_ridge,rmse_normal_lstm,mae_normal_persistence,mae_normal_ridge,mae_normal_lstm,n_ext,rmse_ext_persistence,rmse_ext_ridge,rmse_ext_lstm,mae_ext_persistence,mae_ext_ridge,mae_ext_lstm,n_onset,rmse_onset_persistence,rmse_onset_ridge,rmse_onset_lstm,mae_onset_persistence,mae_onset_ridge,mae_onset_lstm,n_extrel,rmse_extrel_persistence,rmse_extrel_ridge,rmse_extrel_lstm,mae_extrel_persistence,mae_extrel_ridge,mae_extrel_lstm
station_12,CITIES@Saadiyat,30,565,565,12.028233342645658,11.553971487615222,11.784499067287761,8.789185840707963,8.98730218398107,9.053713978185064,551,11.639953263575478,10.646577087911893,10.76254122088321,8.602631578947367,8.509764840318914,8.515450393759837,14,22.502578264977295,30.43567414545539,32.33800570879092,16.131428571428568,27.7818076381131,30.238230765206477,7,29.20242529066966,36.376937377540955,36.27140529654582,24.592857142857138,33.99848372807313,32.75657209123884,59,18.084341995873913,21.14632270944084,21.507440742283308,13.892033898305087,18.205710099283902,18.430257224390058
station_12,CITIES@Saadiyat,90,505,505,12.19209339638352,11.604956795792445,11.742653762116767,8.905663366336634,9.036243986723665,9.043359113183353,492,11.80422300242828,10.663125726595618,10.642677298999406,8.730792682926829,8.545417302641974,8.476908169412999,13,22.380766983488986,30.469883111490326,32.70762187198381,15.523846153846154,27.61214618427691,30.481348677415113,6,29.977854604135146,37.3356988683138,37.58568608559177,24.686666666666667,34.66699659308805,33.70305302937826,55,18.352817519636893,21.302319588655653,21.758901808909748,14.037636363636365,18.32338676344506,18.629426477605644
station_13,CITIES@Lycee Francais Theodore Monod International School,30,594,594,12.133064224454904,11.477989246262172,11.637988497267253,8.984444444444446,8.941834526808004,8.919261571325437,576,11.811504484799743,10.532487950007548,10.569046506021962,8.828541666666666,8.403649068818035,8.31799364262157,18,19.839323185140273,28.243479746403377,29.91755015332573,13.973333333333333,26.16376918248692,28.159835289849173,8,27.612641805883044,33.19629952646754,33.47713445510594,23.466250000000002,30.86795097278692,30.532414207458494,61,18.444965815485432,21.34853055860376,22.56004887044034,14.578688524590163,18.79574209515276,19.988396925379018
station_13,CITIES@Lycee Francais Theodore Monod International School,90,534,534,12.28736598793038,11.600764803222686,11.814429804832704,9.147228464419474,9.059955582221033,9.06151333326704,516,11.938002183113849,10.55678816840193,10.640809699943356,8.978875968992249,8.46331092174664,8.395292799897897,18,19.839323185140273,28.243479746403377,29.91755015332573,13.973333333333333,26.16376918248692,28.159835289849173,8,27.612641805883044,33.19629952646754,33.47713445510594,23.466250000000002,30.86795097278692,30.532414207458494,60,18.003631902109827,21.14468129321648,22.335491269504757,14.2195,18.588456579438585,19.765296045939127
station_14,CITIES@West Yas Island,30,387,387,12.513374622556636,11.816025734865612,12.261471860508152,9.419095607235143,9.143452134219473,9.181735632056107,376,11.809693942293269,10.44876446530056,10.746561411322395,9.03343085106383,8.490544091831232,8.457866606205068,11,27.232873183308843,34.35366115798254,36.6299703187545,22.601818181818185,31.461036128581124,33.924895061146124,6,35.42098765797852,40.831132205537095,42.78428028366052,32.593333333333334,39.99613322281805,41.615587793986,37,19.865042295585614,22.90826981594938,24.777565809897542,15.98675675675676,19.11833188508911,20.887470950564826
station_14,CITIES@West Yas Island,90,327,327,12.535055797770148,11.652379981007515,12.164968294666936,9.34874617737003,8.973448135057351,9.07795837565664,319,11.704227232488178,10.227857821914894,10.561399750895516,8.920971786833856,8.337696281473372,8.361943932655837,8,30.9864137566773,37.13000394063253,40.014529848264914,26.406250000000007,34.324053296718546,37.629034290313726,5,38.21118108616901,42.49641276893064,44.77069333107697,36.096000000000004,41.75560778262818,43.73905075073242,24,23.308531163503204,25.13332640396417,27.223225875961486,19.245833333333334,21.09263528276976,23.20866251627604
station_15,CITIES@Khalifa City 1,30,367,367,20.42504864771637,18.079328019477362,17.942871002624166,13.572833787465939,12.639038010307296,12.729600088135099,338,17.4910706212996,13.990909264867376,13.878502098686958,11.864615384615384,10.660859980079529,10.76359588645619,29,41.39762041303907,43.07027060307467,42.770952172557315,33.48241379310345,35.69504401778957,35.64371802494444,19,45.49658905664768,48.617127348839425,48.6317207676968,39.59947368421052,43.74322173820703,43.75770754362407,38,37.023302725943324,38.707654208535025,38.46024980134138,28.806052631578943,31.05700685675497,31.037378772936364
station_15,CITIES@Khalifa City 1,90,307,307,21.486237827058325,18.891308009311622,18.755933483904872,14.184527687296416,13.022924365312571,13.187557749794827,282,18.156220677519322,14.367574475231564,14.270547780954644,12.190744680851063,10.82939990365206,11.018627100193752,25,44.1670914595924,45.32114595283282,44.9751580153525,36.674400000000006,37.76588029284314,37.653095477294926,17,47.639611422329935,50.34877266707217,50.352962593018916,42.16235294117647,45.37877015973805,45.37293529734892,31,40.413693822602966,41.488340840574764,40.99549477459406,32.52548387096774,33.57354224141351,33.13843114053049
station_16,CITIES@Khalifa City 2,30,329,329,18.518673226090232,16.947053552743526,16.99408597756197,13.060273556231003,12.252209815476268,12.381141714774367,300,16.299310936355564,13.459369799365343,13.53419932000272,11.660833333333333,10.448715700736509,10.529582234446206,29,33.7982925502213,37.205520871613466,37.168067441124855,27.53724137931034,30.909045485197932,31.53520530437601,19,33.73975641817668,35.24445942687736,35.54520251758438,29.585789473684212,32.58627104615897,32.431025591398544,31,32.83161640071763,36.07428275010601,36.11145694790181,26.48806451612903,29.528989307406878,30.36534788562405
station_16,CITIES@Khalifa City 2,90,269,269,19.31623873352183,17.52611268179311,17.576837644120637,13.420817843866171,12.389447176914507,12.599654327732924,249,16.641617437127163,13.724368936724014,13.932634780518084,11.73875502008032,10.504393138511041,10.739768013092409,20,39.62926942299088,42.26468203333201,41.695806103152385,34.3625,35.85836995503762,35.75523894500732,14,38.1203749419426,38.62220197701763,38.48989332512421,34.895714285714284,36.55794396367289,35.70565439496722,21,38.81956079092086,41.270937262087976,40.77645673561772,33.458571428571425,34.46319120498206,34.62858835129511
