target,target_name,K,train_end,adapt_start,adapt_end,test_start,test_end,n_observed_after_test_start
station_12,CITIES@Saadiyat,30,2023-01-15,2023-01-16,2023-02-14,2023-02-15,2024-11-07,579
station_12,CITIES@Saadiyat,90,2023-01-15,2023-01-16,2023-04-15,2023-04-16,2024-11-07,519
station_13,CITIES@Lycee Francais Theodore Monod International School,30,2023-02-22,2023-02-23,2023-03-24,2023-03-25,2024-11-07,594
station_13,CITIES@Lycee Francais Theodore Monod International School,90,2023-02-22,2023-02-23,2023-05-23,2023-05-24,2024-11-07,534
station_14,CITIES@West Yas Island,30,2023-09-17,2023-09-18,2023-10-17,2023-10-18,2024-11-07,387
station_14,CITIES@West Yas Island,90,2023-09-17,2023-09-18,2023-12-16,2023-12-17,2024-11-07,327
station_15,CITIES@Khalifa City 1,30,2023-09-17,2023-09-18,2023-10-17,2023-10-18,2024-11-07,381
station_15,CITIES@Khalifa City 1,90,2023-09-17,2023-09-18,2023-12-16,2023-12-17,2024-11-07,321
station_16,CITIES@Khalifa City 2,30,2023-09-17,2023-09-18,2023-10-17,2023-10-18,2024-11-07,357
station_16,CITIES@Khalifa City 2,90,2023-09-17,2023-09-18,2023-12-16,2023-12-17,2024-11-07,297
station_17,CITIES@Sas Al Nakhl,30,2023-10-24,2023-10-25,2023-11-23,2023-11-24,2024-11-07,350
station_17,CITIES@Sas Al Nakhl,90,2023-10-24,2023-10-25,2024-01-22,2024-01-23,2024-11-07,290
station_18,CITIES@Al Danah,30,2023-11-12,2023-11-13,2023-12-12,2023-12-13,2024-11-07,324
station_18,CITIES@Al Danah,90,2023-11-12,2023-11-13,2024-02-10,2024-02-11,2024-11-07,271
station_19,CITIES@Shakhbout[31],30,2023-11-16,2023-11-17,2023-12-16,2023-12-17,2024-11-07,327
station_19,CITIES@Shakhbout[31],90,2023-11-16,2023-11-17,2024-02-14,2024-02-15,2024-11-07,267
station_20,Abu dhabi al muzoon,30,2024-01-01,2024-01-02,2024-01-31,2024-02-01,2024-11-07,257
station_20,Abu dhabi al muzoon,90,2024-01-01,2024-01-02,2024-03-31,2024-04-01,2024-11-07,197
station_21,CITIES@Bateen-BWA,30,2024-03-07,2024-03-08,2024-04-06,2024-04-07,2024-11-07,215
station_21,CITIES@Bateen-BWA,90,2024-03-07,2024-03-08,2024-06-05,2024-06-06,2024-11-07,155
station_22,Mamsha Azure 3,30,2024-05-20,2024-05-21,2024-06-19,2024-06-20,2024-11-07,141
station_22,Mamsha Azure 3,90,2024-05-20,2024-05-21,2024-08-18,2024-08-19,2024-11-07,81
station_27,Sheleila,30,2023-09-27,2023-09-28,2023-10-27,2023-10-28,2024-09-30,305
station_27,Sheleila,90,2023-09-27,2023-09-28,2023-12-26,2023-12-27,2024-09-30,245
