condition,target,name,K,n_test,extrel_threshold,n_all,rmse_all_model,rmse_all_persistence,mae_all_model,mae_all_persistence,n_normal,rmse_normal_model,rmse_normal_persistence,mae_normal_model,mae_normal_persistence,n_ext,rmse_ext_model,rmse_ext_persistence,mae_ext_model,mae_ext_persistence,n_onset,rmse_onset_model,rmse_onset_persistence,mae_onset_model,mae_onset_persistence,n_extrel,rmse_extrel_model,rmse_extrel_persistence,mae_extrel_model,mae_extrel_persistence
interp,station_12,CITIES@Saadiyat,30,565,54.08,565,11.553793005885808,12.028233342645658,8.986728134122085,8.789185840707963,551,10.64655673100068,11.639953263575478,8.509254536005688,8.602631578947367,14,30.433219925129702,22.502578264977295,27.778724745703094,16.131428571428568,7,36.37619107446346,29.20242529066966,33.9978324705198,24.592857142857138,59,21.14547917947835,18.084341995873913,18.20504119991118,13.892033898305087
interp,station_12,CITIES@Saadiyat,90,505,54.08,505,11.605001680577553,12.19209339638352,9.035792793522416,8.905663366336634,492,10.663448085272266,11.80422300242828,8.545067829181814,8.730792682926829,13,30.466277435406372,22.380766983488986,27.607845290105217,15.523846153846154,6,37.33314318285148,29.977854604135146,34.66411160419385,24.686666666666667,55,21.300739857815532,18.352817519636893,18.321812795822066,14.037636363636365
interp,station_13,CITIES@Lycee Francais Theodore Monod International School,30,594,57.129,594,11.477422834998523,12.133064224454904,8.940788993141542,8.984444444444446,576,10.532122761762023,11.811504484799743,8.40269055842791,8.828541666666666,18,28.24024144723233,19.839323185140273,26.159938903977793,13.973333333333333,8,33.1937064381556,27.612641805883044,30.864858790348432,23.466250000000002,61,21.347365523180454,18.444965815485432,18.794435960301303,14.578688524590163
interp,station_13,CITIES@Lycee Francais Theodore Monod International School,90,534,57.129,534,11.600330660778221,12.28736598793038,9.058926766210588,9.147228464419474,516,10.556596663032655,11.938002183113849,8.462379831172196,8.978875968992249,18,28.24024144723233,19.839323185140273,26.159938903977793,13.973333333333333,8,33.1937064381556,27.612641805883044,30.864858790348432,23.466250000000002,60,21.14330109881955,18.003631902109827,18.58700391235325,14.2195
interp,station_14,CITIES@West Yas Island,30,387,60.05,387,11.815753338134629,12.513374622556636,9.142378705990728,9.419095607235143,376,10.448586487101217,11.809693942293269,8.489484176199172,9.03343085106383,11,34.352215261696536,27.232873183308843,31.459500815229397,22.601818181818185,6,40.82974785985555,35.42098765797852,39.99503758797758,32.593333333333334,37,22.90824793600806,19.865042295585614,19.11881944163578,15.98675675675676
interp,station_14,CITIES@West Yas Island,90,327,60.05,327,11.651933673047113,12.535055797770148,8.972061952295475,9.34874617737003,319,10.227530036948952,11.704227232488178,8.336339497290872,8.920971786833856,8,37.12787923432855,30.9864137566773,34.32149484560399,26.406250000000007,5,42.494655605031646,38.21118108616901,41.75407367344286,36.096000000000004,24,25.132031423028373,23.308531163503204,21.09162523346805,19.245833333333334
interp,station_15,CITIES@Khalifa City 1,30,367,70.724,367,18.079347039936827,20.42504864771637,12.638687997111635,13.572833787465939,338,13.9908900305523,17.4910706212996,10.660427039786718,11.864615384615384,29,43.07044446501921,41.39762041303907,35.69566053420893,33.48241379310345,19,48.617508069918024,45.49658905664768,43.74388422932787,39.59947368421052,38,38.70765302581293,37.023302725943324,31.056917439756393,28.806052631578943
interp,station_15,CITIES@Khalifa City 1,90,307,70.724,307,18.89124196979038,21.486237827058325,13.022490831847444,14.184527687296416,282,14.367464758176016,18.156220677519322,10.828885519041952,12.190744680851063,25,45.32120025844145,44.1670914595924,37.76635876029337,36.674400000000006,17,50.34903615040862,47.639611422329935,45.37928411350292,42.16235294117647,31,41.488070104115586,40.413693822602966,33.572989012600296,32.52548387096774
interp,station_16,CITIES@Khalifa City 2,30,329,73.376,329,16.94699080398578,18.518673226090232,12.253043549202738,13.060273556231003,300,13.45925602748772,16.299310936355564,10.449595177246302,11.660833333333333,29,37.205622383366034,33.7982925502213,30.909406017717618,27.53724137931034,19,35.245875706890004,33.73975641817668,32.58762231769024,29.585789473684212,31,36.07439096463843,32.83161640071763,29.529287560159684,26.48806451612903
interp,station_16,CITIES@Khalifa City 2,90,269,73.376,269,17.52590922188791,19.31623873352183,12.390405559735376,13.420817843866171,249,13.724217511572816,16.641617437127163,10.50548533971262,11.73875502008032,20,42.26415944423342,39.62926942299088,35.85766229901868,34.3625,14,38.62300188604575,38.1203749419426,36.55825152588901,34.895714285714284,21,41.2703936047997,38.81956079092086,34.46230345222447,33.458571428571425
